Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)
116.860	-701.953	109.035
116.900	-769.236	109.077
116.940	-808.033	109.113
116.980	-830.300	109.149
117.020	-844.337	109.181
117.060	-839.595	109.219
117.100	-810.163	109.255
117.140	-739.686	109.292
117.180	-647.004	109.329
117.220	-535.685	109.362
117.260	-403.404	109.399
117.300	-256.520	109.433
117.340	-113.494	109.468
117.380	32.338	109.506
117.420	171.011	109.544
117.460	300.630	109.576
117.500	428.218	109.613
117.540	548.632	109.655
117.580	649.089	109.689
117.620	724.967	109.723
117.660	779.031	109.761
117.700	803.849	109.793
117.740	804.443	109.828
117.780	770.260	109.864
117.820	696.869	109.901
117.860	592.698	109.940
117.900	487.357	109.975
117.940	383.590	110.012
117.980	274.400	110.047
118.020	169.266	110.086
118.060	94.352	110.122
118.100	29.559	110.157
118.140	-32.360	110.199
118.180	-92.410	110.234
118.220	-168.521	110.270
118.260	-237.872	110.306
118.300	-310.951	110.341
118.340	-370.479	110.380
118.380	-410.272	110.416
118.420	-434.442	110.450
118.460	-440.033	110.490
118.500	-428.237	110.530
118.540	-400.999	110.562
118.580	-356.673	110.599
118.620	-303.729	110.638
118.660	-244.294	110.674
118.700	-178.579	110.716
118.740	-102.305	110.745
118.780	-23.167	110.787
118.820	53.211	110.822
118.860	125.047	110.857
118.900	192.754	110.894
118.940	243.916	110.932
118.980	273.798	110.972
119.020	292.106	111.005
119.060	297.632	111.044
119.100	284.337	111.083
119.140	260.247	111.117
119.180	228.969	111.152
119.220	186.817	111.189
119.260	136.184	111.228
119.300	73.668	111.264
119.340	3.962	111.305
119.380	-68.822	111.340
119.420	-138.208	111.381
119.460	-198.560	111.416
119.500	-251.846	111.450
119.540	-296.456	111.491
119.580	-327.159	111.523
119.620	-322.915	111.562
119.660	-261.549	111.602
119.700	-245.108	111.639
119.740	-259.692	111.676
119.780	-239.388	111.710
119.820	-213.496	111.749
119.860	-191.079	111.790
119.900	-153.694	111.827
119.940	-106.166	111.858
119.980	-49.259	111.898
120.020	18.218	111.935
120.060	97.047	111.973
120.100	176.581	112.016
120.140	243.135	112.049
120.180	288.073	112.089
120.220	314.820	112.129
120.260	338.416	112.168
120.300	346.143	112.205
120.340	328.720	112.242
120.380	291.606	112.275
120.420	239.007	112.313
120.460	174.535	112.354
120.500	111.144	112.390
120.540	39.174	112.430
120.580	-35.331	112.467
120.620	-99.425	112.504
120.660	-153.852	112.541
120.700	-204.899	112.583
120.740	-261.803	112.618
120.780	-322.329	112.655
120.820	-366.883	112.699
120.860	-388.618	112.734
120.900	-392.601	112.770
120.940	-382.580	112.807
120.980	-357.196	112.849
121.020	-316.663	112.889
121.060	-265.147	112.922
121.100	-202.999	112.961
121.140	-127.311	112.999
121.180	-42.291	113.034
121.220	43.520	113.078
121.260	118.686	113.113
121.300	185.416	113.149
121.340	249.170	113.188
121.380	309.488	113.234
121.420	359.525	113.266
121.460	397.646	113.300
121.500	416.628	113.343
121.540	406.089	113.383
121.580	368.374	113.420
121.620	318.569	113.459
121.660	251.512	113.496
121.700	165.209	113.534
121.740	67.632	113.571
121.780	-40.294	113.607
121.820	-149.976	113.649
121.860	-247.931	113.690
121.900	-332.851	113.726
121.940	-406.023	113.757
121.980	-471.924	113.804
122.020	-532.371	113.843
122.060	-582.120	113.877
122.100	-617.385	113.915
122.140	-633.078	113.960
122.180	-623.469	113.995
122.220	-592.664	114.035
122.260	-542.843	114.072
122.300	-471.606	114.112
122.340	-382.204	114.152
122.380	-281.914	114.190
122.420	-168.404	114.229
122.460	-51.361	114.264
122.500	65.595	114.302
122.540	183.577	114.342
122.580	305.669	114.382
122.620	422.638	114.417
122.660	532.593	114.459
122.700	626.025	114.496
122.740	698.238	114.536
122.780	757.468	114.574
122.820	791.689	114.613
122.860	800.592	114.649
122.900	774.968	114.693
122.940	716.816	114.728
122.980	638.263	114.770
123.020	551.813	114.805
123.060	438.090	114.844
123.100	320.198	114.885
123.140	209.882	114.922
123.180	93.925	114.962
123.220	-34.494	115.000
123.260	-159.516	115.037
123.300	-271.088	115.077
123.340	-371.132	115.116
123.380	-457.428	115.157
123.420	-514.864	115.195
123.460	-546.849	115.236
123.500	-568.838	115.273
123.540	-569.930	115.312
123.580	-549.844	115.350
123.620	-509.129	115.390
123.660	-454.934	115.430
123.700	-375.550	115.468
123.740	-283.367	115.506
123.780	-184.258	115.544
123.820	-94.551	115.585
123.860	-20.161	115.623
123.900	46.695	115.662
123.940	103.060	115.698
123.980	146.895	115.741
124.020	174.266	115.780
124.060	184.245	115.821
124.100	181.482	115.855
124.140	171.722	115.897
124.180	162.815	115.933
124.220	141.847	115.977
124.260	100.948	116.018
124.300	57.565	116.055
124.340	10.261	116.096
124.380	-43.051	116.133
124.420	-93.207	116.174
124.460	-135.687	116.209
124.500	-179.520	116.248
124.540	-220.557	116.287
124.580	-245.324	116.332
124.620	-253.003	116.369
124.660	-248.108	116.407
124.700	-229.687	116.446
124.740	-201.278	116.485
124.780	-168.218	116.525
124.820	-122.903	116.565
124.860	-58.303	116.600
124.900	12.527	116.642
124.940	90.553	116.681
124.980	177.551	116.721
125.020	263.485	116.755
125.060	345.803	116.800
125.100	423.108	116.837
125.140	482.666	116.871
125.180	517.320	116.918
125.220	523.525	116.958
125.260	514.410	116.997
125.300	488.676	117.032
125.340	447.001	117.075
125.380	396.008	117.110
125.420	337.334	117.148
125.460	256.219	117.192
125.500	165.946	117.231
125.540	69.094	117.271
125.580	-30.229	117.306
125.620	-126.830	117.347
125.660	-213.567	117.388
125.700	-283.288	117.429
125.740	-337.849	117.467
125.780	-377.238	117.509
125.820	-398.843	117.550
125.860	-397.967	117.587
125.900	-376.302	117.629
125.940	-325.877	117.661
125.980	-249.961	117.704
126.020	-154.411	117.743
126.060	-36.615	117.785
126.100	85.061	117.825
126.140	218.465	117.861
126.180	364.078	117.902
126.220	509.223	117.940
126.260	652.917	117.983
126.300	790.680	118.022
126.340	913.567	118.060
126.380	1008.619	118.105
126.420	1066.620	118.143
126.460	1079.831	118.179
126.500	1051.874	118.218
126.540	1007.345	118.258
126.580	949.883	118.299
126.620	880.810	118.343
126.660	797.595	118.379
126.700	695.138	118.414
126.740	575.739	118.456
126.780	446.862	118.497
126.820	305.877	118.536
126.860	161.950	118.577
126.900	26.302	118.618
126.940	-99.729	118.656
126.980	-208.194	118.696
127.020	-300.036	118.735
127.060	-372.066	118.775
127.100	-417.889	118.816
127.140	-443.403	118.856
