Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)
132.580	-696.649	124.285
132.620	-589.978	124.324
132.660	-441.651	124.369
132.700	-235.695	124.406
132.740	21.874	124.445
132.780	292.687	124.490
132.820	534.557	124.525
132.860	719.358	124.567
132.900	889.344	124.608
132.940	1021.917	124.653
132.980	1101.841	124.688
133.020	1122.594	124.728
133.060	1104.863	124.768
133.100	1060.478	124.808
133.140	986.418	124.850
133.180	876.042	124.889
133.220	708.799	124.927
133.260	481.503	124.969
133.300	268.599	125.010
133.340	65.981	125.048
133.380	-154.542	125.088
133.420	-385.455	125.129
133.460	-604.460	125.171
133.500	-802.494	125.208
133.540	-970.762	125.253
133.580	-1118.842	125.289
133.620	-1241.511	125.330
133.660	-1326.759	125.373
133.700	-1341.216	125.414
133.740	-1290.299	125.452
133.780	-1175.084	125.489
133.820	-989.648	125.532
133.860	-765.409	125.572
133.900	-509.713	125.616
133.940	-210.866	125.654
133.980	102.058	125.691
134.020	424.608	125.738
134.060	723.528	125.775
134.100	964.939	125.814
134.140	1108.433	125.856
134.180	1202.054	125.895
134.220	1249.029	125.936
134.260	1243.023	125.976
134.300	1234.327	126.017
134.340	1198.096	126.059
134.380	1097.715	126.098
134.420	941.792	126.138
134.460	725.307	126.179
134.500	436.086	126.218
134.540	122.784	126.257
134.580	-196.679	126.295
134.620	-525.529	126.338
134.660	-867.579	126.378
134.700	-1201.629	126.419
134.740	-1498.207	126.460
134.780	-1755.486	126.494
134.820	-1966.123	126.540
134.860	-2108.438	126.583
134.900	-2201.639	126.618
134.940	-2227.159	126.657
134.980	-2157.831	126.700
135.020	-1983.515	126.741
135.060	-1763.207	126.779
135.100	-1497.916	126.823
135.140	-1173.811	126.858
135.180	-829.048	126.899
135.220	-468.651	126.943
135.260	-107.555	126.983
135.300	245.201	127.024
135.340	591.085	127.059
135.380	909.445	127.105
135.420	1166.511	127.145
135.460	1351.890	127.181
135.500	1480.073	127.221
135.540	1544.499	127.266
135.580	1542.638	127.303
135.620	1503.426	127.343
135.660	1447.560	127.383
135.700	1370.991	127.424
135.740	1247.058	127.463
135.780	1062.033	127.502
135.820	815.861	127.548
135.860	549.610	127.585
135.900	279.433	127.622
135.940	-17.613	127.662
135.980	-335.708	127.706
136.020	-657.301	127.747
136.060	-900.348	127.783
136.100	-1018.691	127.826
136.140	-1069.608	127.865
136.180	-1073.733	127.907
136.220	-1031.017	127.948
136.260	-935.591	127.989
136.300	-774.325	128.029
136.340	-546.989	128.067
136.380	-288.936	128.111
136.420	-30.331	128.152
136.460	238.212	128.190
136.500	482.587	128.226
136.540	674.815	128.265
136.580	765.162	128.312
136.620	835.648	128.349
136.660	921.932	128.388
136.700	924.769	128.426
136.740	883.360	128.465
136.780	820.588	128.510
136.820	739.566	128.551
136.860	635.938	128.586
136.900	532.650	128.630
136.940	426.991	128.671
136.980	305.578	128.708
137.020	159.414	128.747
137.060	-14.975	128.794
137.100	-191.193	128.833
137.140	-347.226	128.872
137.180	-485.525	128.911
137.220	-606.810	128.952
137.260	-672.358	128.993
137.300	-669.709	129.033
137.340	-615.503	129.073
137.380	-538.572	129.114
137.420	-430.688	129.155
137.460	-321.041	129.193
137.500	-200.849	129.236
137.540	-80.985	129.275
137.580	58.063	129.315
137.620	202.422	129.355
137.660	337.259	129.395
137.700	472.989	129.434
137.740	625.883	129.472
137.780	779.110	129.515
137.820	925.240	129.558
137.860	1010.167	129.597
137.900	1013.532	129.636
137.940	947.354	129.678
137.980	797.958	129.722
138.020	585.421	129.758
138.060	329.054	129.797
138.100	30.087	129.833
138.140	-274.954	129.877
138.180	-572.325	129.916
138.220	-871.638	129.958
138.260	-1168.485	130.000
138.300	-1420.215	130.040
138.340	-1632.098	130.078
138.380	-1825.202	130.116
138.420	-1983.940	130.158
138.460	-2056.340	130.199
138.500	-2008.537	130.242
138.540	-1876.188	130.279
138.580	-1683.868	130.316
138.620	-1458.725	130.361
138.660	-1222.510	130.402
138.700	-960.361	130.440
138.740	-631.087	130.480
138.780	-242.691	130.522
138.820	160.336	130.561
138.860	549.447	130.600
138.900	910.458	130.638
138.940	1228.605	130.681
138.980	1496.405	130.724
139.020	1697.253	130.762
139.060	1810.079	130.803
139.100	1848.349	130.845
139.140	1821.036	130.882
139.180	1712.794	130.922
139.220	1534.301	130.961
139.260	1304.075	131.003
139.300	1050.640	131.043
139.340	818.319	131.085
139.380	610.080	131.122
139.420	366.668	131.167
139.460	84.917	131.203
139.500	-201.422	131.244
139.540	-491.778	131.284
139.580	-771.731	131.324
139.620	-1034.458	131.365
139.660	-1261.691	131.405
139.700	-1424.882	131.443
139.740	-1528.224	131.485
139.780	-1562.951	131.522
139.820	-1551.012	131.566
